school_name,school_location,ncaa_division,conference_name
Academy of Art University,"San Francisco, California",NCAA Division 2,Pacific West
Adams State University,"Alamosa, Colorado",NCAA Division 2,Rocky Mountain (RMAC)
Adelphi University,"Garden City, New York",NCAA Division 2,Northeast-10
Albany State University,"Albany, Georgia",NCAA Division 2,SIAC
Alderson Broaddus University,"Philippi, West Virginia",NCAA Division 2,GMAC
Allen University,"Columbia, South Carolina",NCAA Division 2,SIAC
American International College,"Springfield, Massachusetts",NCAA Division 2,Northeast-10
Angelo State University,"San Angelo, Texas",NCAA Division 2,Lone Star
Arkansas Tech University,"Russellville, Arkansas",NCAA Division 2,GAC
Ashland University,"Ashland, Ohio",NCAA Division 2,GLIAC
Assumption University,"Worcester, Massachusetts",NCAA Division 2,Northeast-10
Auburn University at Montgomery,"Montgomery, Alabama",NCAA Division 2,Gulf South
Augustana University,"Sioux Falls, South Dakota",NCAA Division 2,Northern Sun
Azusa Pacific University,"Azusa, California",NCAA Division 2,Pacific West
Barry University,"Miami, Florida",NCAA Division 2,Sunshine State
Barton College,"Wilson, North Carolina",NCAA Division 2,Conference Carolinas
Belmont Abbey College,"Belmont, North Carolina",NCAA Division 2,Conference Carolinas
Bemidji State University,"Bemidji, Minnesota",NCAA Division 2,Northern Sun
Benedict College,"Columbia, South Carolina",NCAA Division 2,SIAC
Bentley University,"Waltham, Massachusetts",NCAA Division 2,Northeast-10
Biola University,"La Mirada, California",NCAA Division 2,Pacific West
Black Hills State University,"Spearfish, South Dakota",NCAA Division 2,Rocky Mountain (RMAC)
Bloomfield College,"Bloomfield, New Jersey",NCAA Division 2,CACC
Bloomsburg University of Pennsylvania,"Bloomsburg, Pennsylvania",NCAA Division 2,PSAC
Bluefield State College,"Bluefield, West Virginia",NCAA Division 2,Independent
Bowie State University,"Bowie, Maryland",NCAA Division 2,CIAA
Caldwell University,"Caldwell, New Jersey",NCAA Division 2,CACC
California State Polytechnic University-Pomona,"Pomona, California",NCAA Division 2,CCAA
California State University-Chico,"Chico, California",NCAA Division 2,CCAA
California State University-Dominguez Hills,"Carson, California",NCAA Division 2,CCAA
California State University-East Bay,"Hayward, California",NCAA Division 2,CCAA
California State University-Los Angeles,"Los Angeles, California",NCAA Division 2,CCAA
California State University-San Bernardino,"San Bernardino, California",NCAA Division 2,CCAA
California State University-San Marcos,"San Marcos, California",NCAA Division 2,CCAA
California State University-Stanislaus,"Turlock, California",NCAA Division 2,CCAA
California University of Pennsylvania,"California, Pennsylvania",NCAA Division 2,PSAC
Cameron University,"Lawton, Oklahoma",NCAA Division 2,Lone Star
Carson-Newman University,"Jefferson City, Tennessee",NCAA Division 2,South Atlantic
Catawba College,"Salisbury, North Carolina",NCAA Division 2,South Atlantic
Cedarville University,"Cedarville, Ohio",NCAA Division 2,GMAC
Central State University,"Wilberforce, Ohio",NCAA Division 2,SIAC
Central Washington University,"Ellensburg, Washington",NCAA Division 2,GNAC
Chadron State College,"Chadron, Nebraska",NCAA Division 2,Rocky Mountain (RMAC)
